task_head,model,accuracy,precision,recall,f1,roc_auc,rmse,mae,r2
skills,logistic_regression,0.826530612244898,0.25,0.0425531914893617,0.07272727272727272,0.6800758032560944,,,
skills,decision_tree,0.7721088435374149,0.16666666666666666,0.10638297872340426,0.12987012987012986,0.5007752605736928,,,
skills,random_forest,0.8231292517006803,0.3684210526315789,0.14893617021276595,0.21212121212121213,0.6465242484279439,,,
skills,gradient_boosting,0.7959183673469388,0.30303030303030304,0.2127659574468085,0.25,0.5987165130502197,,,
productivity,linear_regression,,,,,,0.9937972222877379,0.8631936267237423,-0.0011506983953339933
productivity,decision_tree,,,,,,1.006363693983041,0.8697899386513451,-0.02662968742060645
productivity,random_forest,,,,,,0.9972114383549341,0.8654515701947212,-0.008041473064051452
productivity,gradient_boosting,,,,,,0.9986590113557924,0.866095046929736,-0.010970185424354906
